name,affiliation_id
Hacettepe Üniversitesi,60020484
Ankara Üniversitesi,60012603
İstanbul Teknik Üniversitesi,60022002
Istanbul Üniversitesi,60028502
Orta Doğu Teknik Üniversitesi (ODTÜ),60004305
Gazi Üniversitesi,60013849
Sağlık Bilimleri Üniversitesi,60198715
Ege Üniversitesi,60022028
Atatürk Üniversitesi,60000021
Dokuz Eylül Üniversitesi,60014930
Marmara Üniversitesi,60027981
Yıldız Teknik Üniversitesi,60019963
Selçuk Üniversitesi,60013575
Erciyes Üniversitesi,60003217
Boğaziçi Üniversitesi,60005803
Çukurova Üniversitesi,60032587
Ondokuz Mayıs Üniversitesi,60009477
Karadeniz Teknik Üniversitesi,60023355
Bursa Uludağ Üniversitesi,60009425
Akdeniz Üniversitesi,60010104
Fırat Üniversitesi,60004863
İstanbul Üniversitesi-Cerrahpaşa,60117280
Koç Üniversitesi,60006369
Bilkent Üniversitesi,60014808
Kocaeli Üniversitesi,60028583
